staff,task,index1,index2,index3,index4,index5
Randomly generated based on data£ºStaff number,Randomly generated based on data£ºTask number+number of times,,,,,
1,1001,0.6,0.4,0.3,0.8,0.5
1,1002,0.6,0.6,0.4,1,0
1,1003,0,1,0.8,0.7,1
1,1004,0,0.4,0.1,0.2,0.4
1,1005,0.4,0.8,0.8,0.2,0.1
1,1006,0,0.6,0.3,0.3,0.9
1,1007,0.3,0.3,0.3,0.8,0.6
1,1008,0.6,0.9,0.3,0.9,0.2
1,2001,0.9,0.4,0.6,0.5,0.8
1,2002,0.1,0.2,0,0.2,1
1,2003,0.4,0.4,1,0.5,0.4
1,2004,0.9,0.7,0.4,0.5,0.5
1,2005,1,0.9,0.2,0.2,0.2
1,2006,0.9,0.8,0.1,0.7,0.2
1,2007,0.5,0.2,0.2,0.3,0.6
1,3001,0.5,0.6,0.8,0.5,0.4
1,3002,0.4,0.2,0.3,0,0
1,3003,0.6,0.2,0.1,0.6,0.9
1,3004,0.7,0.5,0.6,0.9,0.2
1,3005,0.4,0.9,0.3,0.3,0.9
1,3006,0.3,0.1,0.5,0.1,0
1,3007,0.9,0.1,0.4,0.9,0.8
1,3008,0.2,0.6,0.3,0,0.1
1,3009,0.8,0.5,0.5,0.4,0.7
1,3010,0.2,0.2,0.3,0.2,0.3
1,4001,0.5,0.2,0.8,0.7,1
1,4002,0.6,0.3,0.2,0.2,0
1,4003,0.6,0.4,0.1,0.4,0.9
1,4004,0,0.9,0.3,0,0.4
1,4005,0.7,0.6,0.6,0.1,0.4
1,4006,1,0.6,0,0.1,0.9
1,4007,0.5,1,0.3,0.2,0
1,4008,0.1,1,0.3,0.7,0.1
1,4009,0.4,0.5,0,0.8,0.6
1,4010,0.1,0.7,0.5,0.6,0.3
,,0.2,0.4,0.6,0.2,0.7
,,1,0,0.2,0.7,0.6
,,0.7,0.2,1,0.3,0.9
,,0.6,0.3,0.3,0.7,0.9
,,0.7,0.7,0.6,0.8,0.1
,,0.8,0.5,1,0.3,0.3
,,0.4,0.7,0.1,0.1,0.2
,,0.6,0.6,0.1,0.1,0.9
,,0.4,0.7,0.9,0.2,0.3
,,0.6,0.1,0.3,0,0.6
,,0.1,0.7,0.5,0.7,0.5
,,0.1,0.3,0.7,0.3,0.7
,,0.9,0.1,0.8,0.8,0.8
,,1,0.2,0.7,0.1,0.7
,,0,0.6,0.4,0,0
,,1,0,0.2,0.2,0.3
,,0.7,0.4,0.4,0.2,0.9
,,1,0.6,0.2,0.9,1
,,0.7,0.4,0.9,0.7,0.3
,,0.7,0,0.4,0.1,0.4
,,0.7,0.4,0.7,0.1,0.4
,,0.5,0.4,0.8,0.2,0.8
,,0.9,0.8,0.7,0.1,0.6
,,0.1,0.1,0.1,0.9,0.1
,,0.1,0.7,0.6,0.3,0.5
,,0.3,0.2,0.9,0.6,0.1
,,0.3,0.3,0.4,0,0.1
,,0.7,0.2,0.1,0.5,0.6
,,0.4,0.8,0.5,0.1,0
,,0.1,0.6,0.9,0.7,0.2
,,0.5,0,0.3,0.5,0.1
,,0.9,0.9,0.1,0.1,0.1
,,0.4,0.7,0.7,0.7,0.5
,,0.2,0.6,0.4,1,0.5
,,0.6,0.1,0.8,0,0.9
,,0.4,0,0.7,0.3,1
,,0.3,0,0,0.9,0.2
,,0.2,0.2,0.8,0.6,0.2
,,0.3,0.6,0.8,0.4,0.3
,,0.5,0.4,0.1,0,0.8
,,0.2,0.6,1,0.7,0.5
,,0.4,0.7,0,0.8,0.7
,,1,0.4,1,0.8,0.2
,,0.6,0.1,0.3,0.3,0
,,1,0.5,0.8,0.1,0.5
,,0.1,0.9,0.4,0.8,0.5
,,0.1,0.7,0.9,0.5,0.3
,,0.5,0.6,0.1,0.1,0.2
,,0.9,0.2,0.8,0.1,0.5
,,0.5,0.6,0.6,1,0.8
,,0.2,0.9,0.6,0.1,0
,,0.7,0.7,0.5,0.1,0.8
,,0.7,0.6,0.8,0.2,0.3
,,0.8,0.9,0.6,0.7,0.9
,,0.8,0.8,0.9,0.4,0.9
,,0.9,0.4,0.4,0.4,0.7
,,1,0.4,0.1,0.7,0.2
,,0.4,0.9,0.6,0.4,0.3
,,0.4,0.8,0.8,0.4,0.1
,,0.3,0.4,0.4,0.4,0.9
,,0.6,0,0.6,0.3,0.6
,,0.2,0.1,0.9,0.4,0.1
,,0.1,0.5,0.9,0.1,0.6
,,0.5,0.6,0.8,0.1,0.3
,,0,0.5,0.3,0.9,0
,,0.5,0.2,0.7,0.5,0.6
,,0.4,0,0.9,0.4,0.6
,,0.4,0,0.2,0.8,0.9
,,0.3,0.5,0.7,0.1,0.3
,,0.7,0.1,1,0.2,0.9
